Model,Language,prompt_style,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-1 F1,ROUGE-L F1,BERTScore (F1)
Gemini 2.0 Flash,Java,rag_few_shot,46.47239263803681,37.99444229184823,33.36284964333426,29.896982915206767,51.56298192293035,54.93892294589513,51.403204480651056,91.86044239997864
GPT-3.5 Turbo,Java,rag_few_shot,24.939789493665785,16.26809719910885,11.60001439010605,8.695581789308832,25.652869523961204,27.59963711720086,25.50092567514124,87.71007406711578
GPT-4.1 Mini,Java,rag_few_shot,27.47093023255814,16.98492935888276,12.307728860147149,9.64767962833116,26.932362212914846,28.969009523199023,24.997858383594725,88.2309639453888
GPT-4o,Java,rag_few_shot,36.685139144095274,24.970054888149036,18.47129012585147,14.00616502147172,36.1703825624167,37.543958147814166,35.443772390619195,89.59724032878876
Gemini 2.0 Flash,Python,rag_few_shot,32.90870488322717,29.06636410400083,26.42991198260286,24.07027850220872,53.50853422361348,54.54391043707017,53.90961148581428,91.64660704135895
GPT-3.5 Turbo,Python,rag_few_shot,31.005110732538334,19.372522717172707,14.051260944015434,10.479836697879154,26.57728685188466,36.92265034488265,31.05320125422186,88.11164391040802
GPT-4.1 Mini,Python,rag_few_shot,28.25788751714678,17.901124847701745,12.987517657632019,9.658438779117393,26.89413558102924,33.374134011657425,27.982588615625627,88.26416397094727
GPT-4o,Python,rag_few_shot,36.087450212269005,25.309087662430528,18.91496021865524,14.467417170101932,32.84793552347669,39.69873682071442,35.749644572096656,89.56942510604858
Gemini 2.0 Flash,JavaScript,rag_few_shot,40.189125295508276,35.02683365981323,31.93321959795656,29.32202721501834,57.84382206127701,59.02435989319989,57.929058513541,92.05661940574646
GPT-3.5 Turbo,JavaScript,rag_few_shot,32.78128652967975,25.34194497298019,20.715354692443658,17.5896278097912,32.07652057051746,30.425235525220113,28.84000706602267,88.50999581813812
GPT-4.1 Mini,JavaScript,rag_few_shot,30.93220338983051,22.843043729978813,18.178894434547445,14.752995846811952,32.58565985948927,32.69964631566725,31.168237122007735,88.38256418704987
GPT-4o,JavaScript,rag_few_shot,38.91625615763547,30.199188335863365,24.591420556129084,20.25981042760327,37.521437857483036,40.24170056434591,37.746467905518095,89.57653963565826
Gemini 2.0 Flash,PHP,rag_few_shot,39.242219215155615,33.75065197033258,30.035556824960945,26.791834249552153,52.29465529970465,56.65912728400183,54.31282114264723,91.47903716564178
GPT-3.5 Turbo,PHP,rag_few_shot,30.23964417540439,21.099438302043108,16.034284079533283,12.20858330168826,26.172636761166352,30.99992778672547,28.022528066898772,87.66866850852966
GPT-4.1 Mini,PHP,rag_few_shot,30.75780089153046,21.19601964939199,15.872355926693546,12.202677188044232,33.59445488740933,34.93622292846451,32.18714559192374,88.44455683231354
GPT-4o,PHP,rag_few_shot,38.68587248234494,29.237234507516348,23.504549842016537,19.360187780793005,37.67087380666839,38.87390061824153,35.59444977090405,89.69998037815094
